Alpha, Beta, Density, Flux
0.15,0.8,0.0818425,0.0746525
0.15,0.85,0.079675,0.0742525
0.15,0.85,0.0772675,0.074225
0.15,0.85,0.07806,0.0749225
0.15,0.85,0.0837775,0.07743
0.15,0.85,0.07544,0.07265
0.15,0.85,0.078375,0.07451
0.15,0.85,0.082045,0.0772925
0.15,0.85,0.0760275,0.0728425
0.15,0.85,0.0726475,0.0680025
0.15,0.85,0.0821075,0.078245
0.15,0.9,0.0803325,0.0764775
0.15,0.9,0.0747,0.0705375
0.15,0.9,0.08083,0.0760175
0.15,0.9,0.08658,0.08105
0.15,0.9,0.0774625,0.07393
0.15,0.9,0.0831225,0.0786525
0.15,0.9,0.0803,0.0771825
0.15,0.9,0.086,0.081735
0.15,0.9,0.0714375,0.0673925
0.15,0.9,0.078235,0.0749975
0.15,0.95,0.0854575,0.0804825
0.15,0.95,0.0781125,0.0729025
0.15,0.95,0.0888875,0.084525
0.15,0.95,0.090265,0.0812925
0.15,0.95,0.0813175,0.0737075
0.15,0.95,0.0763325,0.0723625
0.15,0.95,0.08359,0.07905
0.15,0.95,0.0824575,0.07841
0.15,0.95,0.077085,0.071795
0.15,0.95,0.0730525,0.07051
0.2,0,0.8061025,0.02405
0.2,0,0.823575,0.023995
0.2,0,0.794265,0.0239425
0.2,0,0.815605,0.0238825
0.2,0,0.810225,0.02362
0.2,0,0.7852225,0.0238975
0.2,0,0.7815775,0.023615
0.2,0,0.7984625,0.0236225
0.2,0,0.7619,0.0237075
0.2,0,0.7996325,0.0238475
0.2,0.05,0.591785,0.03746
0.2,0.05,0.543435,0.038415
0.2,0.05,0.56208,0.0401025
0.2,0.05,0.6088125,0.0373125
0.2,0.05,0.6022575,0.03935
0.2,0.05,0.581355,0.0380425
0.2,0.05,0.6101725,0.0380675
0.2,0.05,0.5765925,0.0381225
0.2,0.05,0.557645,0.03974
0.2,0.05,0.579765,0.0390325
0.2,0.1,0.3855975,0.0528375
0.2,0.1,0.3037175,0.0564375
0.2,0.1,0.3949125,0.04994
0.2,0.1,0.4400025,0.0488875
0.2,0.1,0.37678,0.049815
0.2,0.1,0.3902775,0.055815
0.2,0.1,0.375135,0.05121
0.2,0.1,0.41172,0.04961
0.2,0.1,0.41206,0.0516375
0.2,0.1,0.30573,0.0526075
0.2,0.15,0.32435,0.0536725
0.2,0.15,0.30311,0.0601225
